lat, long, problem, incidencia, anio, mes, dia, ciclo, prec, tmax, tmin,tmed, velvmax,velv, dirvvmax, dirv, radg,humr, et, dpoint, tmidnight, condiciones,tipo
27.29873085,-110.0553513,Roya Lineal,0.02,2014,2,24,Ciclo 2013-2014,0.0,26.3,11.5,18.0,11.6,3.62,41.7,268.5,509.79,82.11,3.9,14.879901826435713,14.8,0,N
27.29873085,-110.0553513,Roya Lineal,0.02,2014,2,23,Ciclo 2013-2014,0.0,25.7,12.0,18.31,13.3,4.77,315.6,291.3,368.55,76.29,2.9,14.03643481536767,13.7,0,G
27.29873085,-110.0553513,Roya Lineal,0.02,2014,2,22,Ciclo 2013-2014,0.0,28.4,10.9,18.4,14.3,3.55,10.0,260.8,504.82,74.35,4.0,13.724218456998514,17.5,0,G
27.29873085,-110.0553513,Roya Lineal,0.02,2014,2,21,Ciclo 2013-2014,0.0,29.5,10.6,18.26,16.0,3.57,6.3,274.5,501.65,73.03,4.2,13.311985255536541,18.9,0,G
27.29873085,-110.0553513,Roya Lineal,0.02,2014,2,20,Ciclo 2013-2014,0.0,28.9,10.2,18.07,9.8,3.16,359.5,232.3,505.86,68.02,4.1,12.037889452117696,18.7,0,G
27.21675682,-110.0630569,Roya Lineal,0.01,2014,3,6,Ciclo 2013-2014,0.0,30.0,10.5,19.0,9.0,4.2,236.3,150.7,485.05,74.16,3.9,14.264794738845225,19.5,0,N
27.21675682,-110.0630569,Roya Lineal,0.01,2014,3,5,Ciclo 2013-2014,0.0,27.7,9.6,17.79,9.9,5.47,102.7,151.5,494.7,74.69,3.9,13.204557528015343,18.1,0,G
27.21675682,-110.0630569,Roya Lineal,0.01,2014,3,4,Ciclo 2013-2014,0.0,26.5,9.0,17.56,12.8,5.4,292.1,255.2,471.18,74.29,3.8,12.899286868677592,17.5,0,G
27.21675682,-110.0630569,Roya Lineal,0.01,2014,3,3,Ciclo 2013-2014,0.0,27.2,9.7,17.72,17.4,7.63,284.8,293.7,491.02,72.22,4.0,12.619320196919972,17.5,0,G
27.21675682,-110.0630569,Roya Lineal,0.01,2014,3,2,Ciclo 2013-2014,0.0,26.8,14.1,19.34,14.6,7.33,294.3,290.3,461.66,75.68,3.7,14.910124641122408,12.700000000000001,0,G
27.46354866,-109.97883610000001,Roya Lineal,0.03,2014,3,17,Ciclo 2013-2014,0.0,30.6,9.7,19.6,24.5,5.26,356.6,321.8,598.96,39.7,5.9,5.461556202578507,20.900000000000002,0,N
27.46354866,-109.97883610000001,Roya Lineal,0.03,2014,3,16,Ciclo 2013-2014,0.0,28.0,11.1,20.6,23.6,9.28,286.3,0.5,579.0,33.01,6.6,3.711271511168732,16.9,0,G
27.46354866,-109.97883610000001,Roya Lineal,0.03,2014,3,15,Ciclo 2013-2014,0.0,30.1,9.8,19.37,22.9,6.49,299.5,314.7,570.09,61.06,6.0,11.629725345479429,20.3,0,G
27.46354866,-109.97883610000001,Roya Lineal,0.03,2014,3,14,Ciclo 2013-2014,0.0,27.3,10.5,18.48,22.5,3.94,120.9,199.1,431.44,72.19,3.7,13.34563828817167,16.8,0,G
